Gene_ID	Gene_ID_new	ko	pathway
TRINITY_DN21293_c0_g1	9272	ko00561	Glycerolipid metabolism
TRINITY_DN21293_c0_g1	9272	ko01100	Metabolic pathways
TRINITY_DN21293_c0_g1	9272	ko01110	Biosynthesis of secondary metabolites
TRINITY_DN27904_c0_g1	373	ko04626	Plant-pathogen interaction
TRINITY_DN14231_c0_g1	2924	ko03040	Spliceosome
TRINITY_DN32391_c0_g1	2802	ko00073	Cutin, suberine and wax biosynthesis
TRINITY_DN32391_c0_g1	2802	ko04146	Peroxisome
TRINITY_DN5190_c1_g1	1404	ko00230	Purine metabolism
TRINITY_DN5190_c1_g1	1404	ko00240	Pyrimidine metabolism
TRINITY_DN5190_c1_g1	1404	ko01100	Metabolic pathways
TRINITY_DN5190_c1_g1	1404	ko03030	DNA replication
TRINITY_DN5190_c1_g1	1404	ko03410	Base excision repair
TRINITY_DN5190_c1_g1	1404	ko03420	Nucleotide excision repair
TRINITY_DN5190_c1_g1	1404	ko03430	Mismatch repair
TRINITY_DN5190_c1_g1	1404	ko03440	Homologous recombination
TRINITY_DN11143_c0_g1	6659	ko03022	Basal transcription factors
TRINITY_DN38430_c3_g1	4567	ko00500	Starch and sucrose metabolism
TRINITY_DN38430_c3_g1	4567	ko01100	Metabolic pathways
TRINITY_DN17893_c0_g3	9867	ko01110	Biosynthesis of secondary metabolites
TRINITY_DN1459_c1_g1	6323	ko04144	Endocytosis
TRINITY_DN58421_c1_g1	7069	ko00514	Other types of O-glycan biosynthesis
TRINITY_DN141591_c0_g1	12869	ko00564	Glycerophospholipid metabolism
TRINITY_DN141591_c0_g1	12869	ko00565	Ether lipid metabolism
TRINITY_DN141591_c0_g1	12869	ko01100	Metabolic pathways
TRINITY_DN141591_c0_g1	12869	ko01110	Biosynthesis of secondary metabolites
TRINITY_DN141591_c0_g1	12869	ko04144	Endocytosis
TRINITY_DN21952_c0_g1	6164	ko00940	Phenylpropanoid biosynthesis
TRINITY_DN21952_c0_g1	6164	ko01100	Metabolic pathways
TRINITY_DN21952_c0_g1	6164	ko01110	Biosynthesis of secondary metabolites
TRINITY_DN6959_c0_g1	987	ko00010	Glycolysis / Gluconeogenesis
TRINITY_DN6959_c0_g1	987	ko00051	Fructose and mannose metabolism
TRINITY_DN6959_c0_g1	987	ko00052	Galactose metabolism
TRINITY_DN6959_c0_g1	987	ko00500	Starch and sucrose metabolism
TRINITY_DN6959_c0_g1	987	ko00520	Amino sugar and nucleotide sugar metabolism
TRINITY_DN6959_c0_g1	987	ko01100	Metabolic pathways
TRINITY_DN6959_c0_g1	987	ko01110	Biosynthesis of secondary metabolites
TRINITY_DN6959_c0_g1	987	ko01200	Carbon metabolism
TRINITY_DN361_c0_g1	10340	ko04626	Plant-pathogen interaction
TRINITY_DN4404_c0_g1	11691	ko04144	Endocytosis
TRINITY_DN16233_c0_g1	1062	ko03010	Ribosome
TRINITY_DN8820_c0_g1	8191	ko00531	Glycosaminoglycan degradation
TRINITY_DN8820_c0_g1	8191	ko01100	Metabolic pathways
TRINITY_DN29396_c0_g1	9207	ko00190	Oxidative phosphorylation
TRINITY_DN6266_c0_g2	11488	ko04626	Plant-pathogen interaction
TRINITY_DN3259_c0_g1	6093	ko00561	Glycerolipid metabolism
TRINITY_DN3259_c0_g1	6093	ko00564	Glycerophospholipid metabolism
TRINITY_DN3259_c0_g1	6093	ko01100	Metabolic pathways
TRINITY_DN3259_c0_g1	6093	ko01110	Biosynthesis of secondary metabolites
TRINITY_DN6266_c0_g1	11487	ko04626	Plant-pathogen interaction
TRINITY_DN9948_c0_g1	6066	ko04120	Ubiquitin mediated proteolysis
TRINITY_DN17181_c0_g1	949	ko00073	Cutin, suberine and wax biosynthesis
TRINITY_DN9077_c0_g1	6393	ko04146	Peroxisome
TRINITY_DN27327_c0_g1	11273	ko04145	Phagosome
TRINITY_DN15430_c1_g1	1187	ko00520	Amino sugar and nucleotide sugar metabolism
TRINITY_DN15430_c1_g1	1187	ko01100	Metabolic pathways
TRINITY_DN25212_c0_g1	5475	ko00072	Synthesis and degradation of ketone bodies
TRINITY_DN25212_c0_g1	5475	ko00280	Valine, leucine and isoleucine degradation
TRINITY_DN25212_c0_g1	5475	ko00650	Butanoate metabolism
TRINITY_DN25212_c0_g1	5475	ko00900	Terpenoid backbone biosynthesis
TRINITY_DN25212_c0_g1	5475	ko01100	Metabolic pathways
TRINITY_DN25212_c0_g1	5475	ko01110	Biosynthesis of secondary metabolites
TRINITY_DN257131_c0_g1	13623	ko03018	RNA degradation
TRINITY_DN58089_c0_g2	8769	ko04626	Plant-pathogen interaction
TRINITY_DN25681_c0_g1	3986	ko04145	Phagosome
TRINITY_DN17549_c0_g2	11544	ko00270	Cysteine and methionine metabolism
TRINITY_DN17549_c0_g2	11544	ko01100	Metabolic pathways
TRINITY_DN17549_c0_g2	11544	ko01110	Biosynthesis of secondary metabolites
TRINITY_DN11826_c1_g1	3619	ko04136	Autophagy - other
TRINITY_DN23800_c0_g1	8911	ko00196	Photosynthesis - antenna proteins
TRINITY_DN1911_c0_g3	5344	ko00740	Riboflavin metabolism
TRINITY_DN1911_c0_g3	5344	ko00790	Folate biosynthesis
TRINITY_DN1911_c0_g3	5344	ko01100	Metabolic pathways
TRINITY_DN1911_c0_g3	5344	ko01110	Biosynthesis of secondary metabolites
TRINITY_DN46050_c0_g2	3261	ko03022	Basal transcription factors
TRINITY_DN13961_c0_g1	1666	ko00514	Other types of O-glycan biosynthesis
TRINITY_DN13961_c0_g1	1666	ko01100	Metabolic pathways
TRINITY_DN190994_c0_g1	12980	ko04141	Protein processing in endoplasmic reticulum
TRINITY_DN44269_c0_g1	542	ko00270	Cysteine and methionine metabolism
TRINITY_DN44269_c0_g1	542	ko01100	Metabolic pathways
TRINITY_DN68333_c1_g1	2261	ko03440	Homologous recombination
TRINITY_DN782_c0_g1	10728	ko00030	Pentose phosphate pathway
TRINITY_DN782_c0_g1	10728	ko00230	Purine metabolism
TRINITY_DN782_c0_g1	10728	ko01100	Metabolic pathways
TRINITY_DN782_c0_g1	10728	ko01110	Biosynthesis of secondary metabolites
TRINITY_DN782_c0_g1	10728	ko01200	Carbon metabolism
TRINITY_DN782_c0_g1	10728	ko01230	Biosynthesis of amino acids
TRINITY_DN32786_c0_g1	1300	ko00561	Glycerolipid metabolism
TRINITY_DN32786_c0_g1	1300	ko00564	Glycerophospholipid metabolism
TRINITY_DN32786_c0_g1	1300	ko01100	Metabolic pathways
TRINITY_DN32786_c0_g1	1300	ko01110	Biosynthesis of secondary metabolites
TRINITY_DN1350_c0_g1	11209	ko00195	Photosynthesis
TRINITY_DN1350_c0_g1	11209	ko01100	Metabolic pathways
TRINITY_DN45006_c0_g1	7872	ko04144	Endocytosis
TRINITY_DN4391_c0_g1	4192	ko00190	Oxidative phosphorylation
TRINITY_DN4391_c0_g1	4192	ko01100	Metabolic pathways
TRINITY_DN4391_c0_g1	4192	ko04145	Phagosome
TRINITY_DN3562_c0_g2	6971	ko00520	Amino sugar and nucleotide sugar metabolism
TRINITY_DN3562_c0_g2	6971	ko01100	Metabolic pathways
TRINITY_DN3562_c0_g2	6971	ko04016	MAPK signaling pathway - plant
TRINITY_DN32078_c0_g1	11899	ko00940	Phenylpropanoid biosynthesis
TRINITY_DN32078_c0_g1	11899	ko01100	Metabolic pathways
TRINITY_DN32078_c0_g1	11899	ko01110	Biosynthesis of secondary metabolites
TRINITY_DN11477_c0_g1	5019	ko03050	Proteasome
TRINITY_DN3562_c0_g3	6972	ko00520	Amino sugar and nucleotide sugar metabolism
TRINITY_DN3562_c0_g3	6972	ko01100	Metabolic pathways
TRINITY_DN3562_c0_g3	6972	ko04016	MAPK signaling pathway - plant
TRINITY_DN206365_c0_g1	13716	ko03030	DNA replication
TRINITY_DN206365_c0_g1	13716	ko03420	Nucleotide excision repair
TRINITY_DN206365_c0_g1	13716	ko03430	Mismatch repair
TRINITY_DN206365_c0_g1	13716	ko03440	Homologous recombination
TRINITY_DN95886_c0_g1	432	ko04016	MAPK signaling pathway - plant
TRINITY_DN95886_c0_g1	432	ko04075	Plant hormone signal transduction
TRINITY_DN10826_c0_g1	608	ko00480	Glutathione metabolism
TRINITY_DN49245_c0_g1	11770	ko04626	Plant-pathogen interaction
TRINITY_DN2235_c0_g1	11033	ko04144	Endocytosis
TRINITY_DN20397_c0_g1	9484	ko04016	MAPK signaling pathway - plant
TRINITY_DN20397_c0_g1	9484	ko04626	Plant-pathogen interaction
TRINITY_DN7464_c0_g1	4696	ko03018	RNA degradation
TRINITY_DN7464_c0_g1	4696	ko03040	Spliceosome
TRINITY_DN7464_c0_g2	4697	ko03018	RNA degradation
TRINITY_DN7464_c0_g2	4697	ko03040	Spliceosome
TRINITY_DN10998_c0_g1	8347	ko00790	Folate biosynthesis
TRINITY_DN10998_c0_g1	8347	ko01100	Metabolic pathways
TRINITY_DN56352_c0_g2	9005	ko00500	Starch and sucrose metabolism
TRINITY_DN80_c0_g1	278	ko00010	Glycolysis / Gluconeogenesis
TRINITY_DN80_c0_g1	278	ko00230	Purine metabolism
TRINITY_DN80_c0_g1	278	ko00620	Pyruvate metabolism
TRINITY_DN80_c0_g1	278	ko01100	Metabolic pathways
TRINITY_DN80_c0_g1	278	ko01110	Biosynthesis of secondary metabolites
TRINITY_DN80_c0_g1	278	ko01200	Carbon metabolism
TRINITY_DN80_c0_g1	278	ko01230	Biosynthesis of amino acids
TRINITY_DN17044_c0_g1	782	ko03030	DNA replication
TRINITY_DN17044_c0_g1	782	ko03420	Nucleotide excision repair
TRINITY_DN17044_c0_g1	782	ko03430	Mismatch repair
TRINITY_DN17044_c0_g1	782	ko03440	Homologous recombination
TRINITY_DN8040_c0_g1	3803	ko00020	Citrate cycle (TCA cycle)
TRINITY_DN8040_c0_g1	3803	ko00640	Propanoate metabolism
TRINITY_DN8040_c0_g1	3803	ko01100	Metabolic pathways
TRINITY_DN8040_c0_g1	3803	ko01110	Biosynthesis of secondary metabolites
TRINITY_DN8040_c0_g1	3803	ko01200	Carbon metabolism
TRINITY_DN2012_c0_g1	701	ko04120	Ubiquitin mediated proteolysis
TRINITY_DN29034_c0_g2	6147	ko00440	Phosphonate and phosphinate metabolism
TRINITY_DN29034_c0_g2	6147	ko00564	Glycerophospholipid metabolism
TRINITY_DN29034_c0_g2	6147	ko01100	Metabolic pathways
TRINITY_DN29034_c0_g1	6146	ko00440	Phosphonate and phosphinate metabolism
TRINITY_DN29034_c0_g1	6146	ko00564	Glycerophospholipid metabolism
TRINITY_DN29034_c0_g1	6146	ko01100	Metabolic pathways
TRINITY_DN21310_c0_g1	4841	ko03018	RNA degradation
TRINITY_DN138314_c0_g4	12841	ko00380	Tryptophan metabolism
TRINITY_DN138314_c0_g4	12841	ko01100	Metabolic pathways
TRINITY_DN5697_c1_g1	37	ko00240	Pyrimidine metabolism
TRINITY_DN5697_c1_g1	37	ko01100	Metabolic pathways
TRINITY_DN5697_c1_g1	37	ko04144	Endocytosis
TRINITY_DN5697_c1_g2	36	ko00240	Pyrimidine metabolism
TRINITY_DN5697_c1_g2	36	ko01100	Metabolic pathways
TRINITY_DN27190_c0_g1	3680	ko03013	RNA transport
TRINITY_DN235843_c0_g1	13284	ko00240	Pyrimidine metabolism
TRINITY_DN235843_c0_g1	13284	ko01100	Metabolic pathways
TRINITY_DN3962_c0_g1	3191	ko00040	Pentose and glucuronate interconversions
TRINITY_DN3962_c0_g1	3191	ko00053	Ascorbate and aldarate metabolism
TRINITY_DN3962_c0_g1	3191	ko00520	Amino sugar and nucleotide sugar metabolism
TRINITY_DN3962_c0_g1	3191	ko01100	Metabolic pathways
TRINITY_DN30552_c1_g1	12330	ko00340	Histidine metabolism
TRINITY_DN30552_c1_g1	12330	ko01100	Metabolic pathways
TRINITY_DN30552_c1_g1	12330	ko01110	Biosynthesis of secondary metabolites
TRINITY_DN30552_c1_g1	12330	ko01230	Biosynthesis of amino acids
TRINITY_DN39645_c0_g1	2875	ko04130	SNARE interactions in vesicular transport
TRINITY_DN59488_c1_g1	9903	ko03015	mRNA surveillance pathway
TRINITY_DN13136_c0_g1	4731	ko00564	Glycerophospholipid metabolism
TRINITY_DN3209_c0_g1	6109	ko00564	Glycerophospholipid metabolism
TRINITY_DN3209_c0_g1	6109	ko01100	Metabolic pathways
TRINITY_DN3209_c0_g1	6109	ko03010	Ribosome
TRINITY_DN89485_c0_g1	3040	ko00561	Glycerolipid metabolism
TRINITY_DN89485_c0_g1	3040	ko00564	Glycerophospholipid metabolism
TRINITY_DN89485_c0_g1	3040	ko01100	Metabolic pathways
TRINITY_DN89485_c0_g1	3040	ko01110	Biosynthesis of secondary metabolites
TRINITY_DN89485_c0_g2	3041	ko00561	Glycerolipid metabolism
TRINITY_DN89485_c0_g2	3041	ko00564	Glycerophospholipid metabolism
TRINITY_DN89485_c0_g2	3041	ko01100	Metabolic pathways
TRINITY_DN89485_c0_g2	3041	ko01110	Biosynthesis of secondary metabolites
TRINITY_DN7105_c0_g3	11357	ko04016	MAPK signaling pathway - plant
TRINITY_DN7105_c0_g3	11357	ko04075	Plant hormone signal transduction
TRINITY_DN8625_c0_g1	10110	ko00500	Starch and sucrose metabolism
TRINITY_DN8625_c0_g1	10110	ko01100	Metabolic pathways
TRINITY_DN32497_c0_g1	10387	ko04141	Protein processing in endoplasmic reticulum
TRINITY_DN507_c2_g1	8131	ko00460	Cyanoamino acid metabolism
TRINITY_DN507_c2_g1	8131	ko01110	Biosynthesis of secondary metabolites
TRINITY_DN35869_c2_g1	2142	ko04626	Plant-pathogen interaction
TRINITY_DN747_c0_g1	10744	ko03022	Basal transcription factors
TRINITY_DN33535_c0_g1	1114	ko03018	RNA degradation
TRINITY_DN33518_c0_g1	1110	ko00230	Purine metabolism
TRINITY_DN33518_c0_g1	1110	ko00240	Pyrimidine metabolism
TRINITY_DN33518_c0_g1	1110	ko01100	Metabolic pathways
TRINITY_DN33518_c0_g1	1110	ko03020	RNA polymerase
TRINITY_DN89635_c0_g1	10626	ko00564	Glycerophospholipid metabolism
TRINITY_DN37144_c0_g1	10930	ko00100	Steroid biosynthesis
TRINITY_DN37144_c0_g1	10930	ko01100	Metabolic pathways
TRINITY_DN37144_c0_g1	10930	ko01110	Biosynthesis of secondary metabolites
TRINITY_DN255072_c0_g1	13528	ko00908	Zeatin biosynthesis
TRINITY_DN28719_c0_g1	94	ko00010	Glycolysis / Gluconeogenesis
TRINITY_DN28719_c0_g1	94	ko00230	Purine metabolism
TRINITY_DN28719_c0_g1	94	ko00620	Pyruvate metabolism
TRINITY_DN28719_c0_g1	94	ko01100	Metabolic pathways
TRINITY_DN28719_c0_g1	94	ko01110	Biosynthesis of secondary metabolites
TRINITY_DN28719_c0_g1	94	ko01200	Carbon metabolism
TRINITY_DN28719_c0_g1	94	ko01230	Biosynthesis of amino acids
TRINITY_DN209_c0_g1	2975	ko00790	Folate biosynthesis
TRINITY_DN2681_c0_g1	7110	ko00520	Amino sugar and nucleotide sugar metabolism
TRINITY_DN2681_c0_g1	7110	ko01100	Metabolic pathways
TRINITY_DN15388_c0_g1	5732	ko03013	RNA transport
TRINITY_DN15388_c0_g1	5732	ko04144	Endocytosis
TRINITY_DN15509_c0_g1	1279	ko00340	Histidine metabolism
TRINITY_DN15509_c0_g1	1279	ko01100	Metabolic pathways
TRINITY_DN15509_c0_g1	1279	ko01110	Biosynthesis of secondary metabolites
TRINITY_DN15509_c0_g1	1279	ko01230	Biosynthesis of amino acids
TRINITY_DN1974_c0_g1	5349	ko04120	Ubiquitin mediated proteolysis
TRINITY_DN1974_c0_g1	5349	ko04712	Circadian rhythm - plant
TRINITY_DN10541_c0_g1	9793	ko03030	DNA replication
TRINITY_DN10541_c0_g1	9793	ko03420	Nucleotide excision repair
TRINITY_DN10541_c0_g1	9793	ko03430	Mismatch repair
TRINITY_DN10541_c0_g1	9793	ko03440	Homologous recombination
TRINITY_DN167054_c0_g1	12923	ko00220	Arginine biosynthesis
TRINITY_DN167054_c0_g1	12923	ko00250	Alanine, aspartate and glutamate metabolism
TRINITY_DN167054_c0_g1	12923	ko00910	Nitrogen metabolism
TRINITY_DN167054_c0_g1	12923	ko01100	Metabolic pathways
TRINITY_DN167054_c0_g1	12923	ko01200	Carbon metabolism
TRINITY_DN3263_c0_g1	6105	ko00730	Thiamine metabolism
TRINITY_DN3263_c0_g1	6105	ko00900	Terpenoid backbone biosynthesis
TRINITY_DN3263_c0_g1	6105	ko01100	Metabolic pathways
TRINITY_DN3263_c0_g1	6105	ko01110	Biosynthesis of secondary metabolites
TRINITY_DN67946_c0_g1	973	ko04146	Peroxisome
TRINITY_DN31883_c0_g1	5865	ko00561	Glycerolipid metabolism
TRINITY_DN31883_c0_g1	5865	ko00564	Glycerophospholipid metabolism
TRINITY_DN31883_c0_g1	5865	ko01100	Metabolic pathways
TRINITY_DN31883_c0_g1	5865	ko01110	Biosynthesis of secondary metabolites
TRINITY_DN31883_c0_g1	5865	ko04070	Phosphatidylinositol signaling system
TRINITY_DN1845_c0_g1	9986	ko03013	RNA transport
TRINITY_DN63898_c0_g1	9244	ko00904	Diterpenoid biosynthesis
TRINITY_DN63898_c0_g1	9244	ko01110	Biosynthesis of secondary metabolites
TRINITY_DN59263_c0_g1	6921	ko00561	Glycerolipid metabolism
TRINITY_DN59263_c0_g1	6921	ko00564	Glycerophospholipid metabolism
TRINITY_DN59263_c0_g1	6921	ko01100	Metabolic pathways
TRINITY_DN59263_c0_g1	6921	ko01110	Biosynthesis of secondary metabolites
TRINITY_DN20238_c0_g1	1958	ko00600	Sphingolipid metabolism
TRINITY_DN20238_c0_g1	1958	ko01100	Metabolic pathways
TRINITY_DN5967_c0_g1	5710	ko03440	Homologous recombination
TRINITY_DN151526_c0_g1	12712	ko00100	Steroid biosynthesis
TRINITY_DN151526_c0_g1	12712	ko01100	Metabolic pathways
TRINITY_DN151526_c0_g1	12712	ko01110	Biosynthesis of secondary metabolites
TRINITY_DN3174_c1_g1	3497	ko04144	Endocytosis
TRINITY_DN31890_c0_g1	5885	ko00230	Purine metabolism
TRINITY_DN31890_c0_g1	5885	ko00240	Pyrimidine metabolism
TRINITY_DN31890_c0_g1	5885	ko01100	Metabolic pathways
TRINITY_DN31890_c0_g1	5885	ko03020	RNA polymerase
TRINITY_DN41050_c0_g1	4330	ko03008	Ribosome biogenesis in eukaryotes
TRINITY_DN29121_c0_g1	1677	ko03008	Ribosome biogenesis in eukaryotes
TRINITY_DN27456_c0_g1	6583	ko00460	Cyanoamino acid metabolism
TRINITY_DN27456_c0_g1	6583	ko01110	Biosynthesis of secondary metabolites
TRINITY_DN33572_c0_g1	1106	ko02010	ABC transporters
TRINITY_DN56788_c0_g1	7340	ko03010	Ribosome
TRINITY_DN6481_c0_g1	9453	ko00051	Fructose and mannose metabolism
TRINITY_DN6481_c0_g1	9453	ko00520	Amino sugar and nucleotide sugar metabolism
TRINITY_DN6481_c0_g1	9453	ko01100	Metabolic pathways
TRINITY_DN6481_c0_g1	9453	ko01110	Biosynthesis of secondary metabolites
TRINITY_DN6481_c0_g2	9454	ko00051	Fructose and mannose metabolism
TRINITY_DN6481_c0_g2	9454	ko00520	Amino sugar and nucleotide sugar metabolism
TRINITY_DN6481_c0_g2	9454	ko01100	Metabolic pathways
TRINITY_DN6481_c0_g2	9454	ko01110	Biosynthesis of secondary metabolites
TRINITY_DN2518_c1_g2	4403	ko04075	Plant hormone signal transduction
TRINITY_DN263950_c0_g1	13189	ko00460	Cyanoamino acid metabolism
TRINITY_DN263950_c0_g1	13189	ko01110	Biosynthesis of secondary metabolites
TRINITY_DN22495_c2_g1	7537	ko03040	Spliceosome
TRINITY_DN22495_c2_g1	7537	ko04141	Protein processing in endoplasmic reticulum
TRINITY_DN22495_c2_g1	7537	ko04144	Endocytosis
TRINITY_DN8302_c0_g1	4577	ko00220	Arginine biosynthesis
TRINITY_DN8302_c0_g1	4577	ko00230	Purine metabolism
TRINITY_DN8302_c0_g1	4577	ko01100	Metabolic pathways
TRINITY_DN27579_c0_g1	1989	ko00240	Pyrimidine metabolism
TRINITY_DN27579_c0_g1	1989	ko00410	beta-Alanine metabolism
TRINITY_DN27579_c0_g1	1989	ko00770	Pantothenate and CoA biosynthesis
TRINITY_DN27579_c0_g1	1989	ko01100	Metabolic pathways
TRINITY_DN6612_c0_g1	7452	ko03040	Spliceosome
TRINITY_DN17947_c0_g1	9887	ko00563	Glycosylphosphatidylinositol (GPI)-anchor biosynthesis
TRINITY_DN17947_c0_g1	9887	ko01100	Metabolic pathways
TRINITY_DN11615_c0_g1	419	ko03050	Proteasome
TRINITY_DN10267_c0_g2	6794	ko04075	Plant hormone signal transduction
TRINITY_DN35022_c0_g1	5256	ko00970	Aminoacyl-tRNA biosynthesis
TRINITY_DN11425_c0_g1	5034	ko00562	Inositol phosphate metabolism
TRINITY_DN11425_c0_g1	5034	ko04070	Phosphatidylinositol signaling system
TRINITY_DN11425_c0_g1	5034	ko04145	Phagosome
TRINITY_DN22305_c0_g1	7508	ko04075	Plant hormone signal transduction
TRINITY_DN3354_c0_g2	8948	ko03008	Ribosome biogenesis in eukaryotes
TRINITY_DN3354_c0_g2	8948	ko03013	RNA transport
TRINITY_DN3354_c0_g1	8947	ko03008	Ribosome biogenesis in eukaryotes
TRINITY_DN3354_c0_g1	8947	ko03013	RNA transport
TRINITY_DN2271_c0_g1	11042	ko00905	Brassinosteroid biosynthesis
TRINITY_DN2271_c0_g1	11042	ko01100	Metabolic pathways
TRINITY_DN2271_c0_g1	11042	ko01110	Biosynthesis of secondary metabolites
TRINITY_DN29172_c2_g1	1676	ko00940	Phenylpropanoid biosynthesis
TRINITY_DN29172_c2_g1	1676	ko01100	Metabolic pathways
TRINITY_DN29172_c2_g1	1676	ko01110	Biosynthesis of secondary metabolites
TRINITY_DN24823_c0_g1	4220	ko00040	Pentose and glucuronate interconversions
TRINITY_DN24823_c0_g1	4220	ko00052	Galactose metabolism
TRINITY_DN24823_c0_g1	4220	ko00500	Starch and sucrose metabolism
TRINITY_DN24823_c0_g1	4220	ko00520	Amino sugar and nucleotide sugar metabolism
TRINITY_DN24823_c0_g1	4220	ko01100	Metabolic pathways
TRINITY_DN24823_c0_g1	4220	ko03010	Ribosome
TRINITY_DN32_c1_g2	233	ko00053	Ascorbate and aldarate metabolism
TRINITY_DN32_c1_g2	233	ko00480	Glutathione metabolism
TRINITY_DN10967_c0_g2	8338	ko00500	Starch and sucrose metabolism
TRINITY_DN10967_c0_g2	8338	ko01100	Metabolic pathways
TRINITY_DN10967_c0_g2	8338	ko01110	Biosynthesis of secondary metabolites
TRINITY_DN10967_c0_g1	8337	ko00500	Starch and sucrose metabolism
TRINITY_DN10967_c0_g1	8337	ko01100	Metabolic pathways
TRINITY_DN10967_c0_g1	8337	ko01110	Biosynthesis of secondary metabolites
TRINITY_DN8066_c1_g1	3810	ko00230	Purine metabolism
TRINITY_DN8066_c1_g1	3810	ko00240	Pyrimidine metabolism
TRINITY_DN8066_c1_g1	3810	ko00480	Glutathione metabolism
TRINITY_DN8066_c1_g1	3810	ko01100	Metabolic pathways
TRINITY_DN1789_c0_g1	7189	ko00010	Glycolysis / Gluconeogenesis
TRINITY_DN1789_c0_g1	7189	ko00710	Carbon fixation in photosynthetic organisms
TRINITY_DN1789_c0_g1	7189	ko01100	Metabolic pathways
TRINITY_DN1789_c0_g1	7189	ko01110	Biosynthesis of secondary metabolites
TRINITY_DN1789_c0_g1	7189	ko01200	Carbon metabolism
TRINITY_DN1789_c0_g1	7189	ko01230	Biosynthesis of amino acids
TRINITY_DN81911_c0_g1	9181	ko04145	Phagosome
TRINITY_DN4858_c0_g1	7755	ko04626	Plant-pathogen interaction
TRINITY_DN7757_c0_g1	5497	ko04016	MAPK signaling pathway - plant
TRINITY_DN277_c0_g2	2988	ko04130	SNARE interactions in vesicular transport
TRINITY_DN277_c0_g2	2988	ko04145	Phagosome
TRINITY_DN3212_c0_g1	6120	ko00010	Glycolysis / Gluconeogenesis
TRINITY_DN3212_c0_g1	6120	ko00071	Fatty acid degradation
TRINITY_DN3212_c0_g1	6120	ko00350	Tyrosine metabolism
TRINITY_DN3212_c0_g1	6120	ko01100	Metabolic pathways
TRINITY_DN3212_c0_g1	6120	ko01110	Biosynthesis of secondary metabolites
TRINITY_DN3212_c0_g1	6120	ko01200	Carbon metabolism
TRINITY_DN18784_c0_g1	9741	ko03018	RNA degradation
TRINITY_DN17913_c0_g1	9882	ko00040	Pentose and glucuronate interconversions
TRINITY_DN17913_c0_g1	9882	ko01100	Metabolic pathways
TRINITY_DN67583_c0_g1	2473	ko00562	Inositol phosphate metabolism
TRINITY_DN67583_c0_g1	2473	ko01100	Metabolic pathways
TRINITY_DN67583_c0_g1	2473	ko03010	Ribosome
TRINITY_DN67583_c0_g1	2473	ko04070	Phosphatidylinositol signaling system
TRINITY_DN8265_c0_g1	1815	ko00450	Selenocompound metabolism
TRINITY_DN49465_c0_g1	2534	ko00010	Glycolysis / Gluconeogenesis
TRINITY_DN49465_c0_g1	2534	ko00710	Carbon fixation in photosynthetic organisms
TRINITY_DN49465_c0_g1	2534	ko01100	Metabolic pathways
TRINITY_DN49465_c0_g1	2534	ko01110	Biosynthesis of secondary metabolites
TRINITY_DN49465_c0_g1	2534	ko01200	Carbon metabolism
TRINITY_DN49465_c0_g1	2534	ko01230	Biosynthesis of amino acids
TRINITY_DN17941_c0_g1	9891	ko01100	Metabolic pathways
TRINITY_DN6221_c2_g1	11514	ko00562	Inositol phosphate metabolism
TRINITY_DN6221_c2_g1	11514	ko04070	Phosphatidylinositol signaling system
TRINITY_DN6221_c2_g1	11514	ko04145	Phagosome
TRINITY_DN2176_c0_g1	8274	ko03450	Non-homologous end-joining
TRINITY_DN225542_c0_g1	13203	ko04141	Protein processing in endoplasmic reticulum
TRINITY_DN100205_c0_g2	12392	ko00480	Glutathione metabolism
TRINITY_DN13778_c1_g1	6033	ko04626	Plant-pathogen interaction
TRINITY_DN31830_c0_g1	5884	ko00520	Amino sugar and nucleotide sugar metabolism
TRINITY_DN189520_c0_g1	12650	ko04145	Phagosome
TRINITY_DN189520_c0_g1	12650	ko04933	AGE-RAGE signaling pathway in diabetic complications
TRINITY_DN5488_c0_g1	2113	ko00190	Oxidative phosphorylation
TRINITY_DN5488_c0_g1	2113	ko01100	Metabolic pathways
TRINITY_DN54510_c0_g2	6345	ko04016	MAPK signaling pathway - plant
TRINITY_DN54510_c0_g2	6345	ko04626	Plant-pathogen interaction
TRINITY_DN5488_c0_g2	2114	ko00190	Oxidative phosphorylation
TRINITY_DN5488_c0_g2	2114	ko01100	Metabolic pathways
TRINITY_DN12834_c0_g1	10947	ko03013	RNA transport
TRINITY_DN12834_c0_g1	10947	ko03015	mRNA surveillance pathway
TRINITY_DN23949_c0_g1	4349	ko04141	Protein processing in endoplasmic reticulum
TRINITY_DN26215_c0_g1	8473	ko03008	Ribosome biogenesis in eukaryotes
TRINITY_DN12834_c0_g2	10948	ko03013	RNA transport
TRINITY_DN12834_c0_g2	10948	ko03015	mRNA surveillance pathway
TRINITY_DN750_c0_g1	10715	ko03010	Ribosome
TRINITY_DN178440_c0_g1	12866	ko00310	Lysine degradation
TRINITY_DN6253_c0_g1	11496	ko00250	Alanine, aspartate and glutamate metabolism
TRINITY_DN50674_c0_g1	5594	ko01110	Biosynthesis of secondary metabolites
TRINITY_DN7703_c0_g1	5493	ko03010	Ribosome
TRINITY_DN11398_c1_g1	9596	ko03015	mRNA surveillance pathway
TRINITY_DN15900_c0_g1	11861	ko00960	Tropane, piperidine and pyridine alkaloid biosynthesis
TRINITY_DN15900_c0_g1	11861	ko01100	Metabolic pathways
